Instance....: instances/I_100_20_S_1-99_3.txt
Algorithm...: Simulated Annealing (alpha=0.990, saMax=10M, t0=1)
Other params: maxIters=100M, seed=-1, timeLimit=3600.00s

    /--------------------------------------------------------\
    |     Iter |   RDP(%) |       S* |       S' |       Time | 
    |----------|----------|----------|----------|------------|
    |        0 |        - |     1031 |     1031 |       0.00 | s0
    |        3 |        - |     1022 |     1022 |       0.03 | *
    |        5 |        - |     1020 |     1020 |       0.03 | *
    |        6 |        - |      986 |      986 |       0.03 | *
    |        8 |        - |      974 |      974 |       0.03 | *
    |       12 |        - |      918 |      918 |       0.04 | *
    |       15 |        - |      811 |      811 |       0.04 | *
    |       16 |        - |      810 |      810 |       0.04 | *
    |       18 |        - |      797 |      797 |       0.05 | *
    |       30 |        - |      785 |      785 |       0.05 | *
    |       31 |        - |      782 |      782 |       0.05 | *
    |       32 |        - |      763 |      763 |       0.05 | *
    |       43 |        - |      749 |      749 |       0.05 | *
    |       44 |        - |      726 |      726 |       0.05 | *
    |       46 |        - |      712 |      712 |       0.05 | *
    |       47 |        - |      691 |      691 |       0.06 | *
    |       50 |        - |      650 |      650 |       0.06 | *
    |       52 |        - |      636 |      636 |       0.06 | *
    |       55 |        - |      632 |      632 |       0.06 | *
    |       57 |        - |      623 |      623 |       0.06 | *
    |       64 |        - |      618 |      618 |       0.06 | *
    |       68 |        - |      608 |      608 |       0.06 | *
    |       79 |        - |      594 |      594 |       0.06 | *
    |       80 |        - |      583 |      583 |       0.06 | *
    |       96 |        - |      572 |      572 |       0.07 | *
    |      101 |        - |      557 |      557 |       0.07 | *
    |      105 |        - |      547 |      547 |       0.07 | *
    |      117 |        - |      517 |      517 |       0.07 | *
    |      118 |        - |      499 |      499 |       0.07 | *
    |      128 |        - |      490 |      490 |       0.07 | *
    |      133 |        - |      488 |      488 |       0.07 | *
    |      146 |        - |      479 |      479 |       0.07 | *
    |      147 |        - |      478 |      478 |       0.07 | *
    |      149 |        - |      475 |      475 |       0.07 | *
    |      155 |        - |      468 |      468 |       0.07 | *
    |      157 |        - |      459 |      459 |       0.08 | *
    |      162 |        - |      456 |      456 |       0.08 | *
    |      165 |        - |      455 |      455 |       0.08 | *
    |      166 |        - |      450 |      450 |       0.08 | *
    |      177 |        - |      445 |      445 |       0.08 | *
    |      179 |        - |      438 |      438 |       0.08 | *
    |      183 |        - |      433 |      433 |       0.08 | *
    |      190 |        - |      432 |      432 |       0.08 | *
    |      191 |        - |      431 |      431 |       0.08 | *
    |      192 |        - |      420 |      420 |       0.09 | *
    |      217 |        - |      410 |      410 |       0.09 | *
    |      231 |        - |      408 |      408 |       0.09 | *
    |      234 |        - |      406 |      406 |       0.09 | *
    |      239 |        - |      403 |      403 |       0.09 | *
    |      247 |        - |      400 |      400 |       0.09 | *
    |      250 |        - |      389 |      389 |       0.09 | *
    |      255 |        - |      384 |      384 |       0.09 | *
    |      260 |        - |      382 |      382 |       0.09 | *
    |      264 |        - |      364 |      364 |       0.10 | *
    |      274 |        - |      360 |      360 |       0.10 | *
    |      325 |        - |      355 |      355 |       0.10 | *
    |      364 |        - |      352 |      352 |       0.10 | *
    |      377 |        - |      345 |      345 |       0.10 | *
