114;8,36;111;545,85
58;11,37;58;11,37
30;22,62;29;1347,47
20;1,88;20;1,88
16;78,74;16;78,74
205;25,29;203;3121,37
78;122,55;77;835,69
77;78,96;75;2744,46
55;271,72;54;1171,83
25;255,52;23;1605,24
250;91,34;240;965,48
115;340,2;110;663,46
68;348,31;65;8.433.399.999.999.990
87;309,55;85;1470,11
35;295,63;31;1273,52
258;275,04;243;11.124.299.999.999.900
185;339,85;174;2901,45
144;221,38;139;3522,73
84;312,52;80;2360,85
85;203,19;81;977,39
406;67,99;370;3159,98
141;241,71;128;2624,84
129;337,86;118;1239,8
136;155,81;132;2938,54
78;321,79;72;2254,56
