410;70.57;384;1230.92;857;1301.50;-22.66
407;70.49;383;1729.52;391;1800.01;-22.98
407;70.52;385;1729.48;518;1800.00;-22.34
410;70.51;388;1729.49;631;1800.00;-21.39
407;70.49;383;1729.51;921;1800.00;-22.98
412;60.46;386;1739.58;582;1800.03;-22.02
460;3.62;436;4872.81;18;4876.43;-8.03
406;71.00;377;3529.01;236;3600.01;-24.93
407;360.48;377;3239.53;244;3600.01;-24.93
406;360.47;375;3239.53;247;3600.00;-25.60
406;360.62;371;3239.39;255;3600.00;-26.95
409;360.55;379;3239.76;241;3600.31;-24.27
406;360.62;376;3239.38;248;3600.00;-25.27
