58;70.24;58;369.00;751;439.24;-17.24
58;70.25;58;376.91;751;447.16;-17.24
58;70.31;58;397.07;751;467.38;-17.24
58;70.30;58;375.09;751;445.39;-17.24
58;70.31;58;330.72;751;401.03;-17.24
58;360.35;58;3239.66;6;3600.01;-17.24
58;360.31;58;3239.74;3;3600.04;-17.24
58;360.39;58;3239.63;5;3600.02;-17.24
58;360.32;58;3239.69;10;3600.01;-17.24
58;360.35;58;3239.67;6;3600.02;-17.24
58;360.44;58;3239.56;341;3600.00;-17.24
58;360.29;58;3239.73;340;3600.02;-17.24
59;360.64;59;3239.36;278;3600.00;-15.25
58;360.38;58;3239.63;367;3600.00;-17.24
58;360.31;58;3239.69;316;3600.00;-17.24
