16;70.27;16;526.70;751;596.98;-12.50
16;70.25;16;610.89;751;681.14;-12.50
17;70.34;16;554.56;815;624.91;-12.50
17;70.33;16;516.52;838;586.85;-12.50
17;70.32;16;482.60;809;552.92;-12.50
16;360.37;16;3239.63;538;3600.01;-12.50
16;360.34;16;3239.67;510;3600.01;-12.50
16;360.32;16;3239.69;600;3600.01;-12.50
16;360.30;16;3239.70;641;3600.00;-12.50
16;360.30;16;3239.70;598;3600.01;-12.50
16;360.33;16;3239.68;934;3600.01;-12.50
16;360.34;16;3239.67;692;3600.01;-12.50
16;360.32;16;3239.69;773;3600.00;-12.50
16;360.35;16;3239.66;828;3600.01;-12.50
16;360.36;16;3239.64;888;3600.00;-12.50
