80;70.33;79;518.90;790;589.23;-11.39
80;70.30;78;877.11;1028;947.41;-12.82
80;70.36;78;890.48;881;960.84;-12.82
80;70.41;77;1142.56;1410;1212.97;-14.29
80;70.40;76;1137.62;1579;1208.02;-15.79
78;360.42;78;3239.59;5;3600.01;-12.82
78;360.43;78;3239.59;5;3600.02;-12.82
77;360.40;77;3239.62;6;3600.02;-14.29
77;360.39;77;3239.63;6;3600.01;-14.29
78;360.35;78;3239.66;6;3600.02;-12.82
78;360.39;78;3239.62;260;3600.01;-12.82
78;360.37;77;3239.63;255;3600.00;-14.29
78;360.41;76;3239.60;246;3600.01;-15.79
77;360.38;77;3239.62;268;3600.00;-14.29
77;360.40;77;3239.60;262;3600.00;-14.29
