114;70.23;111;460.85;862;531.08;-10.81
114;70.24;112;834.77;1344;905.02;-9.82
114;70.28;111;607.79;1059;678.07;-10.81
114;70.28;111;771.49;1345;841.77;-10.81
114;70.26;112;1213.21;1932;1283.47;-9.82
111;5.27;111;4.73;51;10.00;-10.81
111;5.25;111;4.75;52;10.00;-10.81
111;5.51;111;4.52;48;10.03;-10.81
111;5.30;111;4.70;48;10.00;-10.81
114;6.21;114;29.79;88;36.00;-7.89
114;6.20;114;29.80;91;36.00;-7.89
114;6.21;114;29.79;87;36.00;-7.89
114;6.62;114;29.38;25;36.00;-7.89
114;6.23;114;29.77;25;36.00;-7.89
113;360.38;113;3239.66;3;3600.04;-8.85
114;360.33;114;3239.68;1;3600.02;-7.89
114;360.32;113;3239.69;6;3600.00;-8.85
114;360.34;114;3239.68;3;3600.02;-7.89
111;360.30;111;3239.72;3;3600.02;-10.81
114;360.24;111;3239.77;285;3600.00;-10.81
113;360.30;113;3239.70;278;3600.00;-8.85
114;360.39;112;3239.63;287;3600.02;-9.82
114;360.35;113;3239.65;288;3600.00;-8.85
111;360.31;110;3239.70;261;3600.00;-11.82
