Instance....: instances/I_250_15_S_1-9_2.txt
Algorithm...: Simulated Annealing (alpha=0.990, saMax=10M, t0=1)
Other params: maxIters=100M, seed=-1, timeLimit=3600.00s

    /--------------------------------------------------------\
    |     Iter |   RDP(%) |       S* |       S' |       Time | 
    |----------|----------|----------|----------|------------|
    |        0 |        - |     1352 |     1352 |       0.00 | s0
    |        8 |        - |     1347 |     1347 |       0.02 | *
    |       10 |        - |     1297 |     1297 |       0.02 | *
    |       17 |        - |     1288 |     1288 |       0.02 | *
    |       20 |        - |     1276 |     1276 |       0.03 | *
    |       29 |        - |     1272 |     1272 |       0.03 | *
    |       32 |        - |     1267 |     1267 |       0.03 | *
    |       37 |        - |     1217 |     1217 |       0.03 | *
    |       45 |        - |     1208 |     1208 |       0.03 | *
    |       47 |        - |     1199 |     1199 |       0.03 | *
    |       48 |        - |     1198 |     1198 |       0.04 | *
    |       52 |        - |     1176 |     1176 |       0.04 | *
    |       53 |        - |     1165 |     1165 |       0.04 | *
    |       54 |        - |     1154 |     1154 |       0.04 | *
    |       57 |        - |     1136 |     1136 |       0.04 | *
    |       58 |        - |     1119 |     1119 |       0.04 | *
    |       59 |        - |     1112 |     1112 |       0.04 | *
    |       60 |        - |     1094 |     1094 |       0.04 | *
    |       63 |        - |     1092 |     1092 |       0.04 | *
    |       72 |        - |     1091 |     1091 |       0.04 | *
    |       78 |        - |     1088 |     1088 |       0.04 | *
    |       80 |        - |     1078 |     1078 |       0.04 | *
    |       95 |        - |     1075 |     1075 |       0.05 | *
    |      101 |        - |     1072 |     1072 |       0.05 | *
    |      103 |        - |     1058 |     1058 |       0.05 | *
    |      108 |        - |     1055 |     1055 |       0.05 | *
    |      111 |        - |     1054 |     1054 |       0.05 | *
    |      112 |        - |     1052 |     1052 |       0.05 | *
    |      114 |        - |     1043 |     1043 |       0.05 | *
    |      116 |        - |     1041 |     1041 |       0.05 | *
    |      117 |        - |     1037 |     1037 |       0.05 | *
    |      124 |        - |     1036 |     1036 |       0.05 | *
    |      126 |        - |     1005 |     1005 |       0.05 | *
    |      133 |        - |     1003 |     1003 |       0.05 | *
    |      143 |        - |      988 |      988 |       0.05 | *
    |      145 |        - |      981 |      981 |       0.05 | *
    |      153 |        - |      971 |      971 |       0.06 | *
    |      163 |        - |      962 |      962 |       0.06 | *
    |      169 |        - |      958 |      958 |       0.06 | *
    |      170 |        - |      956 |      956 |       0.06 | *
    |      175 |        - |      943 |      943 |       0.06 | *
    |      186 |        - |      938 |      938 |       0.06 | *
    |      189 |        - |      937 |      937 |       0.06 | *
    |      190 |        - |      933 |      933 |       0.06 | *
    |      204 |        - |      931 |      931 |       0.06 | *
    |      208 |        - |      929 |      929 |       0.06 | *
    |      217 |        - |      923 |      923 |       0.06 | *
    |      218 |        - |      916 |      916 |       0.06 | *
    |      219 |        - |      908 |      908 |       0.06 | *
    |      226 |        - |      907 |      907 |       0.07 | *
    |      231 |        - |      898 |      898 |       0.07 | *
    |      232 |        - |      894 |      894 |       0.07 | *
    |      239 |        - |      893 |      893 |       0.07 | *
    |      245 |        - |      892 |      892 |       0.07 | *
    |      254 |        - |      889 |      889 |       0.07 | *
    |      269 |        - |      886 |      886 |       0.07 | *
    |      270 |        - |      884 |      884 |       0.07 | *
    |      272 |        - |      883 |      883 |       0.07 | *
    |      280 |        - |      882 |      882 |       0.07 | *
    |      281 |        - |      879 |      879 |       0.07 | *
    |      282 |        - |      876 |      876 |       0.07 | *
    |      306 |        - |      858 |      858 |       0.07 | *
    |      312 |        - |      856 |      856 |       0.07 | *
    |      316 |        - |      853 |      853 |       0.08 | *
    |      319 |        - |      847 |      847 |       0.08 | *
    |      322 |        - |      845 |      845 |       0.08 | *
    |      323 |        - |      843 |      843 |       0.08 | *
    |      325 |        - |      841 |      841 |       0.08 | *
    |      326 |        - |      832 |      832 |       0.08 | *
    |      331 |        - |      829 |      829 |       0.08 | *
    |      334 |        - |      826 |      826 |       0.08 | *
    |      336 |        - |      825 |      825 |       0.08 | *
    |      341 |        - |      822 |      822 |       0.08 | *
    |      346 |        - |      820 |      820 |       0.08 | *
    |      350 |        - |      818 |      818 |       0.08 | *
    |      351 |        - |      814 |      814 |       0.08 | *
    |      356 |        - |      813 |      813 |       0.08 | *
    |      358 |        - |      812 |      812 |       0.08 | *
    |      369 |        - |      811 |      811 |       0.08 | *
    |      382 |        - |      809 |      809 |       0.08 | *
    |      384 |        - |      807 |      807 |       0.08 | *
    |      387 |        - |      805 |      805 |       0.08 | *
    |      389 |        - |      804 |      804 |       0.09 | *
    |      401 |        - |      803 |      803 |       0.09 | *
    |      403 |        - |      799 |      799 |       0.09 | *
    |      408 |        - |      797 |      797 |       0.09 | *
    |      419 |        - |      796 |      796 |       0.09 | *
    |      428 |        - |      795 |      795 |       0.09 | *
    |      430 |        - |      791 |      791 |       0.09 | *
    |      431 |        - |      789 |      789 |       0.09 | *
    |      459 |        - |      788 |      788 |       0.09 | *
    |      472 |        - |      779 |      779 |       0.09 | *
    |      484 |        - |      778 |      778 |       0.09 | *
    |      486 |        - |      775 |      775 |       0.09 | *
    |      500 |        - |      772 |      772 |       0.10 | *
    |      502 |        - |      770 |      770 |       0.10 | *
    |      509 |        - |      764 |      764 |       0.10 | *
    |      524 |        - |      763 |      763 |       0.10 | *
    |      529 |        - |      761 |      761 |       0.10 | *
    |      530 |        - |      760 |      760 |       0.10 | *
    |      547 |        - |      759 |      759 |       0.10 | *
    |      558 |        - |      758 |      758 |       0.10 | *
    |      585 |        - |      756 |      756 |       0.10 | *
    |      586 |        - |      751 |      751 |       0.10 | *
    |      593 |        - |      749 |      749 |       0.10 | *
    |      601 |        - |      748 |      748 |       0.11 | *
    |      611 |        - |      747 |      747 |       0.11 | *
    |      615 |        - |      745 |      745 |       0.11 | *
    |      637 |        - |      743 |      743 |       0.11 | *
    |      655 |        - |      742 |      742 |       0.11 | *
    |      658 |        - |      740 |      740 |       0.11 | *
    |      663 |        - |      739 |      739 |       0.11 | *
    |      672 |        - |      737 |      737 |       0.11 | *
    |      673 |        - |      733 |      733 |       0.11 | *
    |      678 |        - |      729 |      729 |       0.11 | *
    |      687 |        - |      718 |      718 |       0.11 | *
    |      690 |        - |      717 |      717 |       0.11 | *
    |      693 |        - |      711 |      711 |       0.12 | *
    |      710 |        - |      704 |      704 |       0.12 | *
    |      716 |        - |      694 |      694 |       0.12 | *
    |      735 |        - |      693 |      693 |       0.12 | *
    |      743 |        - |      687 |      687 |       0.12 | *
    |      745 |        - |      683 |      683 |       0.12 | *
    |      746 |        - |      682 |      682 |       0.12 | *
    |      754 |        - |      680 |      680 |       0.12 | *
    |      756 |        - |      676 |      676 |       0.12 | *
    |      759 |        - |      674 |      674 |       0.12 | *
    |      768 |        - |      673 |      673 |       0.12 | *
    |      786 |        - |      671 |      671 |       0.13 | *
    |      789 |        - |      669 |      669 |       0.13 | *
    |      811 |        - |      667 |      667 |       0.13 | *
    |      812 |        - |      665 |      665 |       0.13 | *
    |      818 |        - |      660 |      660 |       0.13 | *
    |      819 |        - |      654 |      654 |       0.13 | *
    |      827 |        - |      652 |      652 |       0.13 | *
    |      830 |        - |      651 |      651 |       0.13 | *
    |      835 |        - |      648 |      648 |       0.13 | *
    |      836 |        - |      647 |      647 |       0.13 | *
    |      842 |        - |      644 |      644 |       0.14 | *
    |      847 |        - |      643 |      643 |       0.14 | *
    |      862 |        - |      642 |      642 |       0.14 | *
    |      866 |        - |      641 |      641 |       0.14 | *
    |      874 |        - |      639 |      639 |       0.14 | *
    |      876 |        - |      638 |      638 |       0.14 | *
    |      878 |        - |      637 |      637 |       0.14 | *
    |      883 |        - |      629 |      629 |       0.14 | *
    |      886 |        - |      627 |      627 |       0.14 | *
    |      897 |        - |      626 |      626 |       0.14 | *
    |      904 |        - |      625 |      625 |       0.14 | *
    |      906 |        - |      622 |      622 |       0.14 | *
    |      912 |        - |      620 |      620 |       0.14 | *
    |      922 |        - |      619 |      619 |       0.14 | *
    |      927 |        - |      614 |      614 |       0.15 | *
    |      932 |        - |      612 |      612 |       0.15 | *
    |      936 |        - |      610 |      610 |       0.15 | *
    |      942 |        - |      608 |      608 |       0.15 | *
    |      943 |        - |      607 |      607 |       0.15 | *
    |      956 |        - |      606 |      606 |       0.15 | *
    |      958 |        - |      603 |      603 |       0.15 | *
    |      959 |        - |      602 |      602 |       0.15 | *
    |      963 |        - |      598 |      598 |       0.15 | *
    |      967 |        - |      597 |      597 |       0.15 | *
    |      971 |        - |      596 |      596 |       0.15 | *
    |      973 |        - |      595 |      595 |       0.15 | *
    |      980 |        - |      594 |      594 |       0.15 | *
    |      988 |        - |      592 |      592 |       0.15 | *
    |      994 |        - |      591 |      591 |       0.16 | *
    |     1000 |        - |      589 |      589 |       0.16 | *
    |     1010 |        - |      588 |      588 |       0.16 | *
    |     1016 |        - |      587 |      587 |       0.16 | *
    |     1030 |        - |      586 |      586 |       0.16 | *
    |     1031 |        - |      584 |      584 |       0.16 | *
    |     1040 |        - |      583 |      583 |       0.16 | *
    |     1045 |        - |      580 |      580 |       0.16 | *
    |     1050 |        - |      579 |      579 |       0.16 | *
    |     1051 |        - |      576 |      576 |       0.16 | *
    |     1075 |        - |      575 |      575 |       0.16 | *
    |     1085 |        - |      573 |      573 |       0.16 | *
    |     1092 |        - |      571 |      571 |       0.16 | *
    |     1101 |        - |      570 |      570 |       0.16 | *
    |     1103 |        - |      569 |      569 |       0.16 | *
