Instance....: instances/I_200_15_S_1-9_6.txt
Algorithm...: Simulated Annealing (alpha=0.990, saMax=10M, t0=1)
Other params: maxIters=100M, seed=-1, timeLimit=3600.00s

    /--------------------------------------------------------\
    |     Iter |   RDP(%) |       S* |       S' |       Time | 
    |----------|----------|----------|----------|------------|
    |        0 |        - |     1480 |     1480 |       0.00 | s0
    |        1 |        - |     1438 |     1438 |       0.01 | *
    |        2 |        - |     1433 |     1433 |       0.01 | *
    |        4 |        - |     1359 |     1359 |       0.02 | *
    |        5 |        - |     1277 |     1277 |       0.02 | *
    |        6 |        - |     1272 |     1272 |       0.03 | *
    |        7 |        - |     1262 |     1262 |       0.03 | *
    |        8 |        - |     1241 |     1241 |       0.03 | *
    |        9 |        - |     1212 |     1212 |       0.03 | *
    |       14 |        - |     1129 |     1129 |       0.03 | *
    |       17 |        - |     1113 |     1113 |       0.03 | *
    |       18 |        - |     1107 |     1107 |       0.03 | *
    |       25 |        - |     1096 |     1096 |       0.03 | *
    |       27 |        - |     1092 |     1092 |       0.03 | *
    |       31 |        - |     1088 |     1088 |       0.04 | *
    |       33 |        - |     1073 |     1073 |       0.04 | *
    |       35 |        - |     1072 |     1072 |       0.04 | *
    |       40 |        - |     1067 |     1067 |       0.04 | *
    |       41 |        - |     1026 |     1026 |       0.04 | *
    |       44 |        - |     1003 |     1003 |       0.04 | *
    |       53 |        - |      990 |      990 |       0.04 | *
    |       54 |        - |      956 |      956 |       0.04 | *
    |       61 |        - |      929 |      929 |       0.04 | *
    |       65 |        - |      928 |      928 |       0.04 | *
    |       67 |        - |      927 |      927 |       0.04 | *
    |       69 |        - |      925 |      925 |       0.04 | *
    |       72 |        - |      916 |      916 |       0.04 | *
    |       76 |        - |      904 |      904 |       0.04 | *
    |       79 |        - |      892 |      892 |       0.04 | *
    |       80 |        - |      890 |      890 |       0.05 | *
    |       87 |        - |      889 |      889 |       0.05 | *
    |       90 |        - |      883 |      883 |       0.05 | *
    |       93 |        - |      878 |      878 |       0.05 | *
    |       94 |        - |      874 |      874 |       0.05 | *
    |       97 |        - |      872 |      872 |       0.05 | *
    |      101 |        - |      862 |      862 |       0.05 | *
    |      103 |        - |      861 |      861 |       0.05 | *
    |      104 |        - |      853 |      853 |       0.05 | *
    |      105 |        - |      847 |      847 |       0.05 | *
    |      111 |        - |      845 |      845 |       0.05 | *
    |      112 |        - |      842 |      842 |       0.05 | *
    |      113 |        - |      819 |      819 |       0.05 | *
    |      114 |        - |      807 |      807 |       0.05 | *
    |      116 |        - |      805 |      805 |       0.06 | *
    |      124 |        - |      794 |      794 |       0.06 | *
    |      131 |        - |      785 |      785 |       0.06 | *
    |      135 |        - |      782 |      782 |       0.06 | *
    |      139 |        - |      776 |      776 |       0.06 | *
    |      145 |        - |      772 |      772 |       0.06 | *
    |      153 |        - |      771 |      771 |       0.06 | *
    |      159 |        - |      769 |      769 |       0.06 | *
    |      165 |        - |      757 |      757 |       0.06 | *
