Instance: I_100_10_S_1-124_5_MTZ_KB.lp
Solver : Gurobi

Solver Settings (Time_Limit; Threads; MipGap; AbsMipGap) : 1800; 1; 0; 0,9999

Solution value  = 241
LB value  = 186
Solution time = 1801,67836380005
Solution status = Time_Limit

Variable	value

Cmax	241
Y_1_19	1
X_1_79_19	1
Y_1_34	1
X_1_37_34	1
Y_1_37	1
X_1_42_37	1
Y_1_42	1
X_1_19_42	1
Y_1_79	1
X_1_0_79	1
Y_1_96	1
X_1_34_96	1
Y_2_8	1
X_2_25_8	1
Y_2_23	1
X_2_76_23	1
Y_2_25	1
X_2_74_25	1
Y_2_31	1
X_2_23_31	1
Y_2_41	1
X_2_31_41	1
Y_2_43	1
X_2_62_43	1
Y_2_62	1
X_2_0_62	1
Y_2_74	1
X_2_41_74	1
Y_2_76	1
X_2_84_76	1
Y_2_84	1
X_2_88_84	1
Y_2_88	1
X_2_43_88	1
Y_3_11	1
X_3_26_11	1
Y_3_12	1
X_3_49_12	1
Y_3_21	1
X_3_94_21	1
Y_3_26	1
X_3_77_26	1
Y_3_30	1
X_3_21_30	1
Y_3_49	1
X_3_92_49	1
Y_3_77	1
X_3_30_77	1
Y_3_92	1
X_3_11_92	1
Y_3_94	1
X_3_0_94	1
Y_3_99	1
X_3_12_99	1
Y_4_3	1
X_4_66_3	1
Y_4_22	1
X_4_3_22	1
Y_4_32	1
X_4_55_32	1
Y_4_52	1
X_4_0_52	1
Y_4_53	1
X_4_52_53	1
Y_4_55	1
X_4_68_55	1
Y_4_66	1
X_4_78_66	1
Y_4_68	1
X_4_22_68	1
Y_4_78	1
X_4_53_78	1
Y_5_9	1
X_5_44_9	1
Y_5_35	1
X_5_63_35	1
Y_5_36	1
X_5_9_36	1
Y_5_44	1
X_5_89_44	1
Y_5_56	1
X_5_36_56	1
Y_5_63	1
X_5_0_63	1
Y_5_75	1
X_5_56_75	1
Y_5_89	1
X_5_35_89	1
Y_6_13	1
X_6_48_13	1
Y_6_14	1
X_6_0_14	1
