Instance: I_200_30_S_1-124_2_MTZ_KB.lp
Solver : Gurobi

Solver Settings (Time_Limit; Threads; MipGap; AbsMipGap) : 1800; 1; 0; 0,9999

Solution value  = 23703
LB value  = 61,7085706799707
Solution time = 1800,28244972229
Solution status = Time_Limit

Variable	value

Cmax	23703
Y_30_1	1
X_30_200_1	1
Y_30_2	1
X_30_199_2	1
Y_30_3	1
X_30_198_3	1
Y_30_4	1
X_30_197_4	1
Y_30_5	1
X_30_196_5	1
Y_30_6	1
X_30_195_6	1
Y_30_7	1
X_30_194_7	1
Y_30_8	1
X_30_193_8	1
Y_30_9	1
X_30_192_9	1
Y_30_10	1
X_30_191_10	1
Y_30_11	1
X_30_190_11	1
Y_30_12	1
X_30_189_12	1
Y_30_13	1
X_30_188_13	1
Y_30_14	1
X_30_187_14	1
Y_30_15	1
X_30_186_15	1
Y_30_16	1
X_30_185_16	1
Y_30_17	1
X_30_184_17	1
Y_30_18	1
X_30_183_18	1
Y_30_19	1
X_30_182_19	1
Y_30_20	1
X_30_181_20	1
Y_30_21	1
X_30_180_21	1
Y_30_22	1
X_30_179_22	1
Y_30_23	1
X_30_178_23	1
Y_30_24	1
X_30_177_24	1
Y_30_25	1
X_30_176_25	1
Y_30_26	1
X_30_175_26	1
Y_30_27	1
X_30_174_27	1
Y_30_28	1
X_30_173_28	1
Y_30_29	1
X_30_172_29	1
Y_30_30	1
X_30_171_30	1
Y_30_31	1
X_30_170_31	1
Y_30_32	1
X_30_169_32	1
Y_30_33	1
X_30_168_33	1
Y_30_34	1
X_30_167_34	1
Y_30_35	1
X_30_166_35	1
Y_30_36	1
X_30_165_36	1
Y_30_37	1
X_30_164_37	1
Y_30_38	1
X_30_163_38	1
Y_30_39	1
X_30_162_39	1
Y_30_40	1
X_30_161_40	1
Y_30_41	1
X_30_160_41	1
Y_30_42	1
X_30_159_42	1
Y_30_43	1
X_30_158_43	1
Y_30_44	1
X_30_157_44	1
Y_30_45	1
X_30_156_45	1
Y_30_46	1
X_30_155_46	1
Y_30_47	1
X_30_154_47	1
Y_30_48	1
X_30_153_48	1
Y_30_49	1
X_30_152_49	1
Y_30_50	1
X_30_151_50	1
Y_30_51	1
X_30_150_51	1
Y_30_52	1
X_30_149_52	1
Y_30_53	1
X_30_148_53	1
Y_30_54	1
X_30_147_54	1
Y_30_55	1
X_30_146_55	1
Y_30_56	1
X_30_145_56	1
Y_30_57	1
X_30_144_57	1
Y_30_58	1
X_30_143_58	1
Y_30_59	1
X_30_142_59	1
Y_30_60	1
X_30_141_60	1
Y_30_61	1
X_30_140_61	1
Y_30_62	1
X_30_139_62	1
Y_30_63	1
X_30_138_63	1
Y_30_64	1
