Instance: I_50_20_S_1-49_5_MTZ_KB.lp
Solver : Gurobi

Solver Settings (Time_Limit; Threads; MipGap; AbsMipGap) : 1800; 1; 0; 0,9999

Solution value  = 29
LB value  = 29
Solution time = 1159,84420585632
Solution status = Optimal

Variable	value

Cmax	29
Y_1_14	1
X_1_0_14	1
Y_1_47	1
X_1_14_47	1
Y_2_19	1
X_2_0_19	1
Y_2_32	1
X_2_19_32	1
Y_3_42	1
X_3_46_42	1
Y_3_46	1
X_3_0_46	1
Y_4_12	1
X_4_50_12	1
Y_4_50	1
X_4_0_50	1
Y_5_11	1
X_5_33_11	1
Y_5_24	1
X_5_0_24	1
Y_5_33	1
X_5_24_33	1
Y_6_21	1
X_6_44_21	1
Y_6_44	1
X_6_48_44	1
Y_6_48	1
X_6_0_48	1
Y_7_1	1
X_7_25_1	1
Y_7_25	1
X_7_0_25	1
Y_8_9	1
X_8_0_9	1
Y_8_18	1
X_8_20_18	1
Y_8_20	1
X_8_36_20	1
Y_8_36	1
X_8_9_36	1
Y_9_6	1
X_9_27_6	1
Y_9_27	1
X_9_37_27	1
Y_9_37	1
X_9_0_37	1
Y_10_10	1
X_10_0_10	1
Y_10_16	1
X_10_10_16	1
Y_10_22	1
X_10_16_22	1
Y_11_41	1
X_11_0_41	1
Y_12_15	1
X_12_28_15	1
Y_12_28	1
X_12_0_28	1
Y_12_43	1
X_12_15_43	1
Y_13_7	1
X_13_0_7	1
Y_13_38	1
X_13_7_38	1
Y_14_17	1
X_14_34_17	1
Y_14_29	1
X_14_0_29	1
Y_14_34	1
X_14_29_34	1
Y_15_3	1
X_15_0_3	1
Y_15_23	1
X_15_3_23	1
Y_15_45	1
X_15_23_45	1
Y_16_30	1
X_16_40_30	1
Y_16_39	1
X_16_30_39	1
Y_16_40	1
X_16_0_40	1
Y_17_5	1
X_17_0_5	1
Y_17_31	1
X_17_5_31	1
Y_18_13	1
X_18_0_13	1
Y_18_35	1
X_18_13_35	1
Y_19_2	1
X_19_8_2	1
Y_19_8	1
X_19_0_8	1
Y_19_49	1
X_19_2_49	1
Y_20_4	1
X_20_0_4	1
Y_20_26	1
X_20_4_26	1
X_1_47_0	1
X_2_32_0	1
X_3_42_0	1
X_4_12_0	1
X_5_11_0	1
X_6_21_0	1
X_7_1_0	1
X_8_18_0	1
X_9_6_0	1
X_10_22_0	1
X_11_41_0	1
X_12_43_0	1
X_13_38_0	1
X_14_17_0	1
X_15_45_0	1
X_16_39_0	1
X_17_31_0	1
X_18_35_0	1
X_19_49_0	1
X_20_26_0	1
U_1	1
U_2	48
U_6	2
U_11	2
U_12	1
U_15	48
U_16	48
U_17	2
U_18	3
U_20	2
U_21	2
U_22	49
U_23	1
U_26	1
U_27	1
U_30	48
U_31	1
U_32	1
U_33	1
U_34	1
U_35	1
U_36	1
U_38	1
U_39	49
U_42	1
U_43	49
U_44	1
U_45	2
U_47	1
U_49	49
