8  3  1
3
	0	30	1	84	2	17
	0	45	1	20	2	80
	0	100	1	64	2	7
	0	35	1	6	2	89
	0	40	1	50	2	33
	0	15	1	95	2	72
	0	14	1	54	2	72
	0	84	1	60	2	35
SSD
M0
0	4	5	1	1	2	5	7
2	0	7	1	6	4	4	1
5	7	0	7	4	3	9	9
5	8	8	0	6	4	6	4
3	2	8	2	0	9	3	6
1	7	8	4	8	0	8	2
4	7	1	1	3	7	0	7
8	7	4	8	3	4	2	0
M1
0	5	8	8	2	1	7	3
3	0	6	7	7	9	1	9
8	9	0	6	8	6	5	4
7	1	1	0	6	8	8	3
8	2	7	2	0	2	4	3
1	7	2	9	1	0	9	1
1	9	1	9	1	9	0	4
5	5	8	5	5	8	5	0
M2
0	4	4	8	6	3	2	6
5	0	1	7	2	3	9	9
9	3	0	9	7	7	6	5
1	3	7	0	4	6	9	4
9	7	9	5	0	9	5	2
1	4	9	2	3	0	6	9
9	7	3	8	6	5	0	5
6	1	8	2	1	1	8	0
