10  2  1
2
	0	67	1	1
	0	15	1	12
	0	30	1	66
	0	13	1	20
	0	77	1	76
	0	98	1	3
	0	17	1	67
	0	65	1	68
	0	2	1	26
	0	92	1	11
SSD
M0
0	28	34	33	18	10	28	49	3	14
14	0	38	10	45	7	44	41	23	6
31	3	0	48	43	45	10	23	48	2
15	7	31	0	33	20	42	16	37	49
5	14	33	38	0	45	22	10	23	43
24	29	26	21	8	0	2	40	17	40
26	28	30	2	22	25	0	16	31	44
20	26	17	10	2	38	19	0	12	47
43	14	33	30	20	29	43	35	0	37
1	29	49	28	14	13	34	10	11	0
M1
0	30	13	23	49	9	26	31	4	30
39	0	32	26	43	41	43	47	1	7
45	46	0	42	12	18	32	36	9	19
19	24	41	0	34	2	46	5	1	20
30	24	23	25	0	38	29	14	37	34
16	27	41	38	4	0	20	40	2	8
24	28	4	48	31	31	0	28	6	15
6	28	3	48	18	34	12	0	33	13
34	40	13	25	38	7	15	18	0	8
48	22	24	21	40	34	49	25	49	0
