8  3  1
3
	0	44	1	65	2	74
	0	88	1	91	2	14
	0	17	1	73	2	91
	0	92	1	88	2	97
	0	39	1	16	2	82
	0	20	1	68	2	5
	0	42	1	5	2	70
	0	92	1	56	2	50
SSD
M0
0	14	30	3	107	46	109	42
98	0	64	70	34	53	31	29
49	85	0	81	108	28	122	54
110	13	14	0	86	34	102	11
76	120	58	8	0	52	27	19
88	83	111	68	71	0	87	4
54	55	77	2	77	79	0	50
22	116	91	105	103	28	33	0
M1
0	58	112	68	27	78	89	115
70	0	49	74	44	5	5	37
1	111	0	5	74	104	45	15
38	108	12	0	81	83	5	99
45	3	38	93	0	38	115	53
2	61	40	70	65	0	73	51
80	40	78	29	27	75	0	80
25	5	50	82	9	109	13	0
M2
0	59	9	5	2	6	20	88
83	0	77	90	30	102	99	8
88	1	0	13	72	61	34	113
56	107	69	0	87	21	71	67
123	54	10	28	0	63	124	108
59	36	73	121	19	0	111	9
94	92	119	49	50	69	0	78
115	102	109	87	44	105	78	0
