12  2  1
2
	0	72	1	19
	0	25	1	45
	0	99	1	97
	0	73	1	94
	0	66	1	64
	0	28	1	92
	0	11	1	82
	0	83	1	7
	0	84	1	63
	0	95	1	82
	0	40	1	61
	0	33	1	33
SSD
M0
0	81	22	26	52	43	94	98	89	1	20	32
73	0	54	55	58	5	30	96	93	49	81	16
71	88	0	94	4	6	22	36	9	35	23	76
8	94	89	0	98	30	24	52	66	52	25	18
8	4	5	74	0	47	73	84	69	84	99	44
50	9	75	50	31	0	89	15	82	9	94	57
36	56	10	1	3	63	0	78	99	21	4	73
56	72	37	71	8	58	90	0	99	71	71	81
64	8	68	47	83	26	93	23	0	94	5	10
78	98	51	41	91	54	87	35	33	0	50	43
90	76	17	3	22	79	41	30	43	75	0	7
71	94	86	80	1	58	51	93	73	18	9	0
M1
0	19	88	65	3	19	81	73	83	20	5	58
32	0	54	52	27	26	52	41	72	24	92	74
62	41	0	28	16	38	33	67	76	8	29	57
83	22	66	0	6	83	40	12	45	98	47	89
12	36	67	49	0	14	34	88	24	81	64	94
78	58	59	61	55	0	47	14	75	44	34	74
77	53	56	36	35	48	0	72	94	96	90	77
27	86	93	34	99	45	69	0	45	28	16	44
82	33	29	59	25	76	58	88	0	1	59	19
36	18	21	51	3	33	78	17	25	0	94	84
70	30	58	97	14	60	60	91	40	61	0	96
54	14	38	48	44	41	20	43	3	52	87	0
