12  4  1
4
	0	88	1	53	2	91	3	7
	0	76	1	11	2	85	3	38
	0	56	1	42	2	97	3	60
	0	74	1	32	2	85	3	56
	0	84	1	97	2	59	3	22
	0	36	1	54	2	51	3	70
	0	67	1	13	2	32	3	2
	0	82	1	62	2	77	3	90
	0	12	1	100	2	86	3	61
	0	90	1	40	2	12	3	1
	0	2	1	71	2	61	3	6
	0	87	1	70	2	43	3	40
SSD
M0
0	8	9	2	9	8	7	4	8	9	7	4
7	0	4	5	2	2	1	7	8	5	5	7
2	7	0	9	4	8	5	7	1	5	9	9
6	2	5	0	7	8	5	6	1	6	6	1
3	2	3	2	0	1	7	8	7	3	4	6
5	2	8	3	1	0	5	8	8	7	8	7
9	8	1	3	7	3	0	1	3	4	7	8
4	1	3	9	4	1	9	0	5	9	6	9
5	3	8	1	8	3	1	5	0	5	1	8
8	2	1	1	3	6	9	7	2	0	3	4
7	8	3	6	5	6	5	9	2	1	0	8
7	9	1	5	3	4	7	9	8	9	1	0
M1
0	8	1	1	7	7	2	1	7	7	1	7
2	0	9	6	2	1	4	2	8	5	2	3
6	9	0	8	4	1	2	1	7	7	9	7
3	9	2	0	3	1	3	2	9	9	5	7
7	9	9	2	0	9	5	9	2	5	8	1
8	4	5	4	3	0	3	8	1	6	6	9
5	6	7	7	6	6	0	8	3	1	1	4
7	6	8	1	9	6	8	0	9	1	3	2
9	5	3	1	5	6	3	9	0	7	5	6
7	7	2	1	3	8	8	3	3	0	2	2
2	6	2	7	6	6	9	8	3	6	0	8
7	4	8	3	8	3	6	3	4	5	7	0
M2
0	9	2	6	7	3	2	5	2	2	3	3
6	0	7	2	3	9	4	5	9	1	4	3
8	5	0	8	7	1	2	4	2	3	2	5
5	1	8	0	4	2	9	9	3	1	7	1
8	6	9	3	0	1	7	4	7	7	8	8
7	6	1	7	6	0	1	7	6	3	9	9
5	5	3	8	4	1	0	9	1	3	8	7
7	3	1	1	7	2	1	0	7	7	1	3
2	6	2	9	7	9	9	6	0	6	8	6
2	6	5	6	3	5	4	4	4	0	1	4
9	5	2	8	5	8	3	8	9	9	0	1
9	2	1	2	9	6	4	2	8	4	5	0
M3
0	4	1	6	8	3	3	8	1	7	2	2
4	0	7	1	8	9	9	8	5	4	2	8
6	3	0	6	7	3	3	2	2	4	4	6
3	6	3	0	7	4	2	2	2	4	9	8
7	5	1	8	0	9	9	8	4	1	4	3
1	3	8	7	7	0	5	9	5	8	2	5
2	3	4	1	7	5	0	7	1	8	5	6
1	7	8	8	1	2	7	0	6	3	8	2
2	6	1	2	6	5	1	4	0	8	6	7
3	9	6	2	7	6	5	5	8	0	5	5
7	8	4	6	9	3	7	4	1	6	0	2
8	3	1	8	6	2	7	8	3	3	8	0
