10  5  1
5
	0	96	1	76	2	56	3	63	4	66
	0	86	1	82	2	67	3	16	4	86
	0	57	1	55	2	8	3	99	4	80
	0	61	1	78	2	33	3	88	4	100
	0	10	1	19	2	17	3	31	4	87
	0	51	1	95	2	100	3	24	4	76
	0	14	1	58	2	50	3	26	4	44
	0	21	1	14	2	65	3	91	4	7
	0	20	1	96	2	3	3	45	4	29
	0	56	1	77	2	69	3	64	4	2
SSD
M0
0	12	15	10	22	48	46	32	1	44
42	0	37	34	21	20	27	16	25	20
3	38	0	10	17	41	21	21	12	19
29	41	7	0	6	29	41	30	31	12
24	5	18	17	0	25	29	44	20	42
5	24	16	22	2	0	28	15	48	17
15	39	11	39	28	13	0	37	14	33
30	15	33	48	36	16	22	0	2	49
1	32	49	44	16	21	15	26	0	20
13	6	48	38	47	44	47	44	36	0
M1
0	38	45	3	46	15	27	40	22	5
35	0	19	29	39	40	30	17	9	16
20	38	0	27	2	49	22	26	7	13
5	49	13	0	42	22	42	48	44	22
30	35	46	11	0	12	30	35	11	39
2	21	32	24	47	0	19	47	17	46
14	12	46	41	19	33	0	5	18	21
4	23	4	10	33	37	17	0	33	26
45	25	27	1	13	16	25	18	0	33
12	15	17	21	6	37	28	37	33	0
M2
0	11	31	35	18	47	27	3	47	27
49	0	24	28	26	9	48	6	19	32
28	35	0	45	2	19	35	41	42	3
21	19	29	0	39	46	6	45	23	37
33	27	46	24	0	13	15	7	20	22
12	33	41	42	42	0	5	30	32	1
6	5	19	42	6	27	0	29	38	8
29	28	23	3	20	39	27	0	12	35
17	49	30	37	39	1	24	30	0	42
15	18	41	31	17	7	12	4	13	0
M3
0	3	5	11	41	14	10	14	15	14
27	0	25	36	45	40	24	1	20	20
22	6	0	14	5	23	39	45	29	38
45	29	7	0	34	25	43	27	31	36
47	46	11	20	0	47	41	46	4	38
3	6	38	28	2	0	34	20	12	29
45	2	19	23	45	15	0	20	44	38
27	10	15	27	36	12	34	0	25	38
3	16	7	19	20	45	18	12	0	37
12	13	1	43	1	36	40	25	22	0
M4
0	41	44	18	39	26	41	9	30	12
16	0	29	46	21	22	28	22	8	6
12	48	0	1	43	8	23	19	16	2
44	29	45	0	5	46	16	43	4	12
43	17	30	31	0	18	14	36	40	28
22	29	1	47	28	0	29	48	30	32
29	4	34	49	42	23	0	17	7	49
33	4	5	48	38	21	28	0	39	21
3	33	38	4	31	43	15	11	0	23
39	26	38	18	5	20	16	16	47	0
