8  3  1
3
	0	14	1	100	2	23
	0	87	1	21	2	86
	0	58	1	73	2	60
	0	52	1	56	2	9
	0	81	1	23	2	22
	0	86	1	74	2	33
	0	15	1	32	2	69
	0	40	1	21	2	2
SSD
M0
0	15	25	31	94	8	74	62
61	0	88	71	91	96	28	38
81	14	0	56	16	48	49	20
62	63	48	0	69	5	12	29
8	96	49	23	0	48	37	19
40	69	70	29	9	0	75	76
94	85	72	5	8	37	0	39
22	77	40	51	80	55	49	0
M1
0	86	24	43	30	12	71	41
58	0	31	72	97	25	66	17
45	13	0	69	25	58	25	5
69	52	71	0	48	4	13	66
91	86	28	76	0	48	41	60
23	94	80	76	40	0	7	85
33	23	51	28	77	37	0	71
62	5	64	56	35	6	99	0
M2
0	81	88	68	39	85	52	32
17	0	83	48	7	68	58	58
4	51	0	77	23	40	35	15
85	11	46	0	91	74	52	29
42	14	27	54	0	94	89	5
98	15	14	37	62	0	33	76
24	6	82	49	42	25	0	2
18	74	86	78	30	50	5	0
