8  5  1
5
	0	41	1	92	2	16	3	83	4	50
	0	11	1	24	2	34	3	81	4	59
	0	4	1	33	2	55	3	52	4	50
	0	11	1	25	2	91	3	58	4	66
	0	42	1	68	2	15	3	70	4	11
	0	7	1	39	2	31	3	42	4	92
	0	58	1	67	2	74	3	44	4	56
	0	88	1	23	2	65	3	13	4	88
SSD
M0
0	1	24	11	48	42	15	36
14	0	16	13	48	17	47	41
29	35	0	33	21	5	48	22
41	23	43	0	13	45	28	14
21	3	48	12	0	14	48	48
16	22	41	23	5	0	8	5
6	10	48	29	48	32	0	44
7	25	15	19	17	35	10	0
M1
0	43	12	32	42	4	27	33
14	0	48	14	9	17	45	25
36	1	0	48	39	34	8	5
22	40	21	0	10	29	25	5
14	49	35	43	0	29	38	14
9	47	23	42	21	0	2	23
12	13	10	21	37	26	0	1
5	18	48	38	3	15	23	0
M2
0	27	3	23	25	22	44	49
7	0	22	8	41	30	33	14
40	31	0	48	28	46	26	29
15	45	7	0	32	8	39	4
15	13	19	35	0	25	37	8
42	29	42	19	12	0	31	27
33	13	34	32	27	15	0	45
21	29	44	32	23	44	16	0
M3
0	16	26	25	38	40	49	31
30	0	12	37	42	38	36	12
41	22	0	16	20	4	1	15
16	40	21	0	25	40	44	18
16	45	25	32	0	26	6	4
2	11	18	20	6	0	22	49
11	8	9	9	25	3	0	41
30	16	25	30	10	1	24	0
M4
0	3	20	2	11	43	14	39
32	0	42	14	47	32	15	28
35	36	0	20	18	22	8	30
16	41	18	0	27	21	29	8
26	17	13	22	0	17	37	32
1	42	41	47	43	0	48	34
28	9	32	48	14	22	0	2
29	7	11	1	3	18	33	0
