10  2  1
2
	0	35	1	49
	0	70	1	84
	0	87	1	44
	0	71	1	86
	0	13	1	14
	0	76	1	3
	0	19	1	87
	0	38	1	77
	0	50	1	91
	0	31	1	54
SSD
M0
0	3	9	5	8	1	7	7	5	9
4	0	2	4	4	4	6	1	1	4
2	6	0	8	6	4	7	3	4	7
1	2	9	0	3	7	3	4	6	2
6	8	7	6	0	3	4	3	3	2
5	2	9	7	1	0	7	3	5	1
7	4	6	7	5	7	0	8	4	8
2	8	1	7	6	5	2	0	6	2
7	4	8	6	1	3	8	1	0	3
4	6	1	1	8	1	1	6	1	0
M1
0	2	8	5	1	5	2	6	4	3
2	0	1	6	3	5	6	1	2	2
4	2	0	4	9	1	8	5	1	1
9	3	3	0	9	2	4	8	3	7
5	8	1	9	0	3	1	4	1	1
3	5	7	8	2	0	6	5	3	8
1	6	3	7	7	6	0	6	4	6
4	4	8	5	3	2	1	0	4	5
3	4	3	2	5	8	4	4	0	8
4	3	3	2	8	4	8	2	9	0
