12  2  1
2
	0	84	1	25
	0	92	1	5
	0	63	1	97
	0	56	1	65
	0	78	1	18
	0	92	1	46
	0	95	1	68
	0	45	1	49
	0	44	1	7
	0	8	1	2
	0	75	1	61
	0	66	1	73
SSD
M0
0	4	79	113	117	22	54	74	30	93	92	25
70	0	105	64	65	106	74	69	104	63	7	7
66	47	0	61	35	57	7	50	108	43	85	99
58	119	62	0	72	90	122	108	2	105	93	72
75	26	25	60	0	116	95	109	121	34	26	88
95	122	22	114	110	0	123	112	37	5	119	20
89	79	107	42	82	12	0	8	6	115	44	19
72	16	78	23	11	42	94	0	121	50	20	103
76	86	7	112	51	70	82	113	0	117	24	60
16	102	76	15	102	47	30	10	116	0	67	38
68	113	38	88	122	1	108	66	28	92	0	22
21	55	35	49	104	36	115	92	118	121	5	0
M1
0	70	63	12	1	70	89	59	15	81	25	53
58	0	104	86	4	22	122	17	60	89	68	42
71	118	0	60	108	91	26	117	84	48	83	68
80	61	75	0	33	18	46	60	27	28	50	116
111	124	16	118	0	84	48	87	119	84	40	115
76	8	116	31	54	0	85	68	45	75	66	32
53	72	28	72	117	43	0	95	58	106	60	21
58	51	36	80	14	105	86	0	72	76	114	91
42	56	99	95	89	73	124	86	0	80	30	29
115	32	60	43	102	85	21	102	99	0	116	105
54	54	112	96	12	23	46	15	114	69	0	43
120	4	110	42	92	103	5	36	16	53	80	0
