10  5  1
5
	0	52	1	37	2	17	3	76	4	91
	0	31	1	76	2	48	3	98	4	100
	0	37	1	54	2	90	3	70	4	95
	0	21	1	76	2	37	3	51	4	82
	0	2	1	17	2	87	3	93	4	81
	0	6	1	36	2	70	3	26	4	84
	0	5	1	67	2	58	3	43	4	7
	0	6	1	46	2	34	3	5	4	57
	0	5	1	68	2	73	3	19	4	69
	0	93	1	22	2	33	3	1	4	58
SSD
M0
0	7	6	1	2	1	7	7	6	7
7	0	7	4	9	2	1	1	1	1
3	1	0	4	6	5	7	1	6	4
7	2	7	0	6	6	9	5	8	6
2	2	6	9	0	2	5	7	2	1
4	8	4	5	5	0	3	3	4	2
6	3	4	5	6	7	0	6	2	9
5	3	8	9	7	3	2	0	1	5
1	7	4	1	9	1	2	3	0	5
5	6	3	5	2	8	6	7	9	0
M1
0	8	6	8	2	8	6	2	9	7
4	0	1	8	6	2	5	8	1	2
5	6	0	8	9	4	4	8	9	6
2	6	6	0	9	3	3	2	1	6
7	8	4	5	0	5	2	1	9	2
2	7	1	6	5	0	4	1	5	8
9	8	7	2	1	9	0	6	5	1
2	2	5	9	8	5	5	0	4	6
1	3	4	6	6	2	7	3	0	8
5	2	7	1	9	6	5	5	1	0
M2
0	8	3	3	8	8	3	5	6	2
9	0	1	2	7	5	4	7	2	8
7	2	0	8	4	3	6	7	6	4
6	9	6	0	8	6	5	9	6	6
1	9	9	8	0	8	4	3	8	8
6	2	7	6	6	0	7	6	8	8
4	3	1	3	5	4	0	3	6	3
3	7	7	2	3	5	5	0	1	5
8	9	1	8	3	7	8	7	0	3
1	6	3	8	8	6	5	7	5	0
M3
0	3	7	3	2	2	4	4	4	9
5	0	9	6	4	3	9	4	8	3
2	9	0	7	2	9	2	5	6	7
6	8	8	0	7	1	1	7	1	2
1	7	7	7	0	9	4	9	2	2
8	3	5	3	9	0	3	5	2	7
6	9	6	9	5	8	0	1	5	2
7	7	6	1	7	6	8	0	8	6
1	6	3	4	5	9	2	8	0	1
7	4	9	8	4	3	7	4	3	0
M4
0	8	1	2	6	6	1	9	3	4
4	0	1	7	4	8	5	2	3	7
3	6	0	1	5	2	4	2	3	8
8	4	3	0	3	2	5	7	5	4
5	2	8	8	0	5	8	8	2	8
4	4	2	6	1	0	3	9	5	1
3	5	5	4	5	3	0	5	1	5
4	5	8	6	4	7	7	0	9	1
3	2	8	7	4	1	2	5	0	6
9	1	2	6	5	7	7	8	8	0
