8  5  1
5
	0	33	1	54	2	73	3	51	4	51
	0	48	1	8	2	16	3	70	4	36
	0	19	1	52	2	65	3	39	4	82
	0	85	1	72	2	12	3	26	4	55
	0	66	1	94	2	15	3	4	4	96
	0	53	1	60	2	81	3	92	4	15
	0	42	1	50	2	26	3	95	4	77
	0	69	1	68	2	86	3	54	4	65
SSD
M0
0	102	100	33	31	71	19	34
104	0	73	78	62	94	55	46
30	89	0	120	66	60	44	54
89	107	75	0	105	42	43	87
51	45	3	120	0	115	34	94
91	90	20	71	119	0	47	23
123	62	32	114	82	1	0	96
38	124	123	95	24	106	57	0
M1
0	49	84	16	16	74	92	10
38	0	99	124	91	88	78	49
50	119	0	86	21	76	62	79
78	71	12	0	24	36	27	42
106	76	50	71	0	38	37	86
44	114	107	121	44	0	96	13
89	21	15	55	80	74	0	28
48	21	31	118	87	105	86	0
M2
0	78	100	77	32	118	79	94
56	0	7	116	74	61	114	94
84	40	0	100	77	85	46	47
68	46	80	0	91	2	57	4
48	59	7	124	0	4	10	22
112	81	71	41	80	0	24	89
43	55	118	71	107	117	0	47
56	9	105	112	73	107	111	0
M3
0	7	77	24	107	120	54	57
95	0	118	25	35	85	107	48
96	86	0	42	21	50	109	25
75	110	55	0	73	49	95	47
64	12	76	20	0	13	20	9
66	67	24	5	29	0	65	22
98	33	103	82	113	21	0	25
22	21	27	84	39	105	74	0
M4
0	12	19	11	3	48	28	39
34	0	110	124	90	76	98	64
59	21	0	54	110	4	73	16
78	99	81	0	70	8	2	81
28	32	63	83	0	18	37	104
13	123	98	105	7	0	57	109
92	53	26	38	18	106	0	121
15	94	107	81	21	83	91	0
