113;20,99;113;20,99
58;47,24;58;47,24
30;40,28;29;509,24
20;2,47;20;2,47
16;98,09;16;98,09
206;116,74;199;3001,03
78;280,3;77;901,32
76;86,21;76;86,21
55;143,14;54;3098,45
25;219,89;23;541,66
246;303,18;238;2185,26
114;311,74;110;722,29
69;333,79;64;1004,35
85;179,7;85;179,7
36;226,42;31;2395,42
261;113,57;245;3127,09
181;174,91;175;3496,8
144;163,67;138;1709,1
85;228,23;78;21.354.700.000.000.000
84;180,55;82;1195,99
407;344,67;368;3381,73
142;282,54;128;2901,43
128;352,68;117;3077,77
132;201,73;126;1280,65
79;213,38;70;3512,38
